19:22:32.610 > ets Jul 29 2019 12:21:46
19:22:32.612 > 
19:22:32.612 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:22:32.617 > configsip: 0, SPIWP:0xee
19:22:32.617 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
19:22:32.623 > mode:DIO, clock div:2
19:22:32.629 > load:0x3fff0030,len:1184
19:22:32.629 > load:0x40078000,len:12776
19:22:32.635 > load:0x40080400,len:3032
19:22:32.635 > entry 0x400805e4
19:22:32.874 > Start
19:22:32.875 > start erase
19:22:32.875 > ,,,,,,,,,,,,,Bulk Erased
19:22:34.176 > 395001 1
19:22:34.213 > 395001 2
19:22:34.254 > 395001 3
19:22:34.293 > 395001 4
19:22:34.334 > 395001 5
19:22:34.378 > 395001 6
19:22:34.414 > 395001 7
19:22:34.454 > 395001 8
19:22:34.493 > 395001 9
19:22:34.534 > 395001 10
19:22:34.574 > 395001 11
19:22:34.613 > 395001 12
19:22:34.654 > 395001 13
19:22:34.694 > 395001 14
19:22:34.733 > 395001 15
19:22:34.773 > 395001 16
19:22:34.813 > 395001 17
19:22:34.853 > 395001 18
19:22:34.893 > 395001 19
19:22:34.933 > 395001 20
19:22:34.973 > 395001 21
19:22:35.014 > 395001 22
19:22:35.053 > 395001 23
19:22:35.093 > 395001 24
19:22:35.133 > 395001 25
19:22:35.173 > 395001 26
19:22:35.214 > 395001 27
19:22:35.254 > 395001 28
19:22:35.293 > 395001 29
19:22:35.333 > 395001 30
19:22:35.373 > 395001 31
19:22:35.414 > 395001 32
19:22:35.453 > 395001 33
19:22:35.493 > 395001 34
19:22:35.533 > 395001 35
19:22:35.574 > 395001 36
19:22:35.613 > 395001 37
19:22:35.654 > 395001 38
19:22:35.694 > 395001 39
19:22:35.733 > 395001 40
19:22:35.774 > 395001 41
19:22:35.814 > 395001 42
19:22:35.853 > 395001 43
19:22:35.893 > 395001 44
19:22:35.933 > 395001 45
19:22:35.974 > 395001 46
19:22:36.014 > 395001 47
19:22:36.053 > 395001 48
19:22:36.094 > 395001 49
19:22:36.134 > 395001 50
19:22:36.173 > 395001 51
19:22:36.213 > 395001 52
19:22:36.253 > 395001 53
19:22:36.293 > 395001 54
19:22:36.333 > 395001 55
19:22:36.374 > 395001 56
19:22:36.413 > 395001 57
19:22:36.453 > 395001 58
19:22:36.493 > 395001 59
19:22:36.533 > 395001 60
19:22:36.573 > 395001 61
19:22:36.614 > 395001 62
19:22:36.653 > 395001 63
19:22:36.694 > 395001 64
19:22:36.733 > 395001 65
19:22:36.773 > 395001 66
19:22:36.813 > 395001 67
19:22:36.853 > 395001 68
19:22:36.893 > 395001 69
19:22:36.933 > 395001 70
19:22:36.974 > 395001 71
19:22:37.013 > 395001 72
19:22:37.053 > 395001 73
19:22:37.094 > 395001 74
19:22:37.134 > 395001 75
19:22:37.174 > 395001 76
19:22:37.214 > 395001 77
19:22:37.253 > 395001 78
19:22:37.294 > 395001 79
19:22:37.333 > 395001 80
19:22:37.373 > 395001 81
19:22:37.413 > 395001 82
19:22:37.453 > 395001 83
19:22:37.493 > 395001 84
19:22:37.534 > 395001 85
19:22:37.644 > data
19:22:37.645 > 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 0  
19:23:20.734 > ets Jul 29 2019 12:21:46
19:23:20.734 > 
19:23:20.734 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:23:20.740 > configsip: 0, SPIWP:0xee
19:23:20.740 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
19:23:20.745 > mode:DIO, clock div:2
19:23:20.751 > load:0x3fff0030,len:1184
19:23:20.751 > load:0x40078000,len:12776
19:23:20.757 > load:0x40080400,len:3032
19:23:20.757 > entry 0x400805e4
19:23:20.996 > Start
19:23:20.997 > start erase
19:23:20.997 > ,,,,,,,,,,,,,Bulk Erased
19:23:22.306 > 395001 1
19:23:22.336 > 395001 2
19:23:22.376 > 395001 3
19:23:22.415 > 395001 4
19:23:22.456 > 395001 5
19:23:22.496 > 395001 6
19:23:22.535 > 395001 7
19:23:22.576 > 395001 8
19:23:22.616 > 395001 9
19:23:22.656 > 395001 10
19:23:22.696 > 395001 11
19:23:22.736 > 395001 12
19:23:22.776 > 395001 13
19:23:22.815 > 395001 14
19:23:22.856 > 395001 15
19:23:22.895 > 395001 16
19:23:22.936 > 395001 17
19:23:22.976 > 395001 18
19:23:23.016 > 395001 19
19:23:23.056 > 395001 20
19:23:23.096 > 395001 21
19:23:23.136 > 395001 22
19:23:23.176 > 395001 23
19:23:23.216 > 395001 24
19:23:23.256 > 395001 25
19:23:23.296 > 395001 26
19:23:23.336 > 395001 27
19:23:23.376 > 395001 28
19:23:23.416 > 395001 29
19:23:23.456 > 395001 30
19:23:23.496 > 395001 31
19:23:23.536 > 395001 32
19:23:23.576 > 395001 33
19:23:23.616 > 395001 34
19:23:23.656 > 395001 35
19:23:23.696 > 395001 36
19:23:23.735 > 395001 37
19:23:23.776 > 395001 38
19:23:23.816 > 395001 39
19:23:23.856 > 395001 40
19:23:23.896 > 395001 41
19:23:23.936 > 395001 42
19:23:23.976 > 395001 43
19:23:24.016 > 395001 44
19:23:24.056 > 395001 45
19:23:24.096 > 395001 46
19:23:24.136 > 395001 47
19:23:24.176 > 395001 48
19:23:24.215 > 395001 49
19:23:24.256 > 395001 50
19:23:24.296 > 395001 51
19:23:24.336 > 395001 52
19:23:24.376 > 395001 53
19:23:24.416 > 395001 54
19:23:24.455 > 395001 55
19:23:24.496 > 395001 56
19:23:24.536 > 395001 57
19:23:24.575 > 395001 58
19:23:24.616 > 395001 59
19:23:24.656 > 395001 60
19:23:24.696 > 395001 61
19:23:24.736 > 395001 62
19:23:24.776 > 395001 63
19:23:24.815 > 395001 64
19:23:24.856 > 395001 65
19:23:24.896 > 395001 66
19:23:24.935 > 395001 67
19:23:24.975 > 395001 68
19:23:25.016 > 395001 69
19:23:25.055 > 395001 70
19:23:25.096 > 395001 71
19:23:25.135 > 395001 72
19:23:25.176 > 395001 73
19:23:25.216 > 395001 74
19:23:25.256 > 395001 75
19:23:25.296 > 395001 76
19:23:25.336 > 395001 77
19:23:25.376 > 395001 78
19:23:25.415 > 395001 79
19:23:25.456 > 395001 80
19:23:25.496 > 395001 81
19:23:25.536 > 395001 82
19:23:25.576 > 395001 83
19:23:25.616 > 395001 84
19:23:25.656 > 395001 85
19:23:25.766 > data
19:23:25.768 > 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 64 224 246 0  
