17:35:30.030 > ets Jul 29 2019 12:21:46
17:35:30.030 > 
17:35:30.030 > rst:0x1 (POWERON_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
17:35:30.030 > configsip: 0, SPIWP:0xee
17:35:30.030 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
17:35:30.030 > mode:DIO, clock div:2
17:35:30.030 > load:0x3fff0030,len:1184
17:35:30.030 > load:0x40078000,len:12776
17:35:30.030 > load:0x40080400,len:3032
17:35:30.030 > entry 0x400805e4
17:35:30.174 > 0,0
17:35:30.175 > 0,0
17:35:30.190 > 0,0
17:35:30.206 > 0,0
17:35:30.207 > 0,0
17:35:30.222 > 0,0
17:35:30.238 > 0,0
17:35:30.238 > 0,0
17:35:30.255 > 0,0
17:35:30.255 > 204970,0
17:35:30.270 > 204970,0
17:35:30.285 > 204970,0
17:35:30.286 > 204970,0
17:35:30.302 > 204970,0
17:35:30.318 > 204970,0
17:35:30.318 > 204970,0
17:35:30.334 > 204970,0
17:35:30.334 > 204970,0
17:35:30.350 > 204970,0
17:35:30.366 > 204963,1
17:35:30.366 > 204963,1
17:35:30.382 > 204963,1
17:35:30.398 > 204963,1
17:35:30.399 > 204963,1
17:35:30.414 > 204963,1
17:35:30.414 > 204963,1
17:35:30.429 > 204963,1
17:35:30.446 > 204963,1
17:35:30.446 > 204960,2
17:35:30.462 > 204960,2
17:35:30.477 > 204960,2
17:35:30.478 > 204960,2
17:35:30.493 > 204960,2
17:35:30.494 > 204960,2
17:35:30.509 > 204960,2
17:35:30.525 > 204960,2
17:35:30.526 > 204960,2
17:35:30.542 > 204960,2
17:35:30.558 > 204975,0
17:35:30.558 > 204975,0
17:35:30.574 > 204975,0
17:35:30.574 > 204975,0
17:35:30.590 > 204975,0
17:35:30.606 > 204975,0
17:35:30.606 > 204975,0
17:35:30.622 > 204975,0
17:35:30.637 > 204975,0
17:35:30.638 > 204975,0
17:35:30.654 > 204954,1
17:35:30.654 > 204954,1
17:35:30.670 > 204954,1
17:35:30.686 > 204954,1
17:35:30.686 > 204954,1
17:35:30.702 > 204954,1
17:35:30.718 > 204954,1
17:35:30.719 > 204954,1
17:35:30.733 > 204954,1
17:35:30.734 > 204954,1
17:35:30.750 > 204988,0
17:35:30.766 > 204988,0
17:35:30.766 > 204988,0
17:35:30.782 > 204988,0
17:35:30.798 > 204988,0
17:35:30.798 > 204988,0
17:35:30.813 > 204988,0
17:35:30.814 > 204988,0
17:35:30.829 > 204988,0
17:35:30.846 > 204988,0
17:35:30.846 > 204981,1
17:35:30.862 > 204981,1
17:35:30.878 > 204981,1
17:35:30.879 > 204981,1
17:35:30.893 > 204981,1
17:35:30.894 > 204981,1
17:35:30.910 > 204981,1
17:35:30.926 > 204981,1
17:35:30.926 > 204981,1
17:35:30.942 > 204975,2
17:35:30.957 > 204975,2
17:35:30.958 > 204975,2
17:35:30.974 > 204975,2
17:35:30.974 > 204975,2
17:35:30.990 > 204975,2
17:35:31.005 > 204975,2
17:35:31.006 > 204975,2
17:35:31.022 > 204975,2
17:35:31.038 > 204975,2
17:35:31.038 > 204985,0
17:35:31.054 > 204985,0
17:35:31.054 > 204985,0
17:35:31.070 > 204985,0
17:35:31.085 > 204985,0
17:35:31.086 > 204985,0
17:35:31.102 > 204985,0
17:35:31.118 > 204985,0
17:35:31.118 > 204985,0
17:35:31.134 > 204985,0
17:35:31.134 > 205001,0
17:35:31.150 > 205001,0
17:35:31.165 > 205001,0
17:35:31.166 > 205001,0
17:35:31.182 > 205001,0
17:35:31.198 > 205001,0
17:35:31.198 > 205001,0
17:35:31.214 > 205001,0
17:35:31.214 > 205001,0
17:35:31.229 > 205001,0
17:35:31.245 > 204966,1
17:35:31.246 > 204966,1
17:35:31.261 > 204966,1
17:35:31.277 > 204966,1
17:35:31.278 > 204966,1
17:35:31.294 > 204966,1
17:35:31.294 > 204966,1
17:35:31.310 > 204966,1
17:35:31.325 > 204966,1
