19:20:49.557 > 
19:20:49.558 > Brownout detector was tri␏␀=␀�␀�␀ɕ�5Rj��ets Jul 29 2019 12:21:46
19:20:50.504 > 
19:20:50.504 > rst:0x10 (RTCWDT_RTC_RESET),boot:0x13 (SPI_FAST_FLASH_BOOT)
19:20:50.524 > configsip: 0, SPIWP:0xee
19:20:50.524 > clk_drv:0x00,q_drv:0x00,d_drv:0x00,cs0_drv:0x00,hd_drv:0x00,wp_drv:0x00
19:20:50.524 > mode:DIO, clock div:2
19:20:50.524 > load:0x3fff0030,len:1184
19:20:50.524 > load:0x40078000,len:12776
19:20:50.524 > load:0x40080400,len:3032
19:20:50.524 > entry 0x400805e4
19:20:50.651 > 0,0
19:20:50.667 > 0,0
19:20:50.683 > 0,0
19:20:50.684 > 0,0
19:20:50.699 > 0,0
19:20:50.715 > 0,0
19:20:50.716 > 0,0
19:20:50.731 > 0,0
19:20:50.731 > 0,0
19:20:50.747 > 194475,0
19:20:50.763 > 194475,0
19:20:50.763 > 194475,0
19:20:50.779 > 194475,0
19:20:50.795 > 194475,0
19:20:50.795 > 194475,0
19:20:50.811 > 194475,0
19:20:50.811 > 194475,0
19:20:50.828 > 194475,0
19:20:50.843 > 194475,0
19:20:50.844 > 205129,-10654
19:20:50.859 > 205129,-10654
19:20:50.874 > 205129,-10654
19:20:50.875 > 205129,-10654
19:20:50.891 > 205129,-10654
19:20:50.891 > 205129,-10654
19:20:50.907 > 205129,-10654
19:20:50.923 > 205129,-10654
19:20:50.924 > 205129,-10654
19:20:50.939 > 205129,-10654
19:20:50.955 > 205108,-10654
19:20:50.955 > 205108,-10654
19:20:50.970 > 205108,-10654
19:20:50.971 > 205108,-10654
19:20:50.986 > 205108,-10654
19:20:51.002 > 205108,-10654
19:20:51.003 > 205108,-10654
19:20:51.019 > 205108,-10654
19:20:51.034 > 205108,-10654
19:20:51.035 > 205108,-10654
19:20:51.051 > 205107,1
19:20:51.051 > 205107,1
19:20:51.067 > 205107,1
19:20:51.083 > 205107,1
19:20:51.084 > 205107,1
19:20:51.098 > 205107,1
19:20:51.114 > 205107,1
19:20:51.115 > 205107,1
19:20:51.131 > 205082,1
19:20:51.133 > 205082,1
19:20:51.147 > 205082,1
19:20:51.163 > 205082,1
19:20:51.165 > 205082,1
19:20:51.178 > 205082,1
19:20:51.195 > 205082,1
19:20:51.196 > 205082,1
19:20:51.210 > 205082,1
19:20:51.211 > 205082,1
19:20:51.227 > 205080,1
19:20:51.243 > 205080,1
19:20:51.243 > 205080,1
19:20:51.259 > 205080,1
19:20:51.275 > 205080,1
19:20:51.275 > 205080,1
19:20:51.291 > 205080,1
19:20:51.291 > 205080,1
19:20:51.308 > 205080,1
19:20:51.322 > 205080,1
